Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1569196800,9/23/19,ETHUSD,211.07,211.54,198.2,200.77,61461.66,12607810.03
1569110400,9/22/19,ETHUSD,214.94,215.41,206.13,211.07,40565.65,8520983.43
1569024000,9/21/19,ETHUSD,218.1,221.62,213.3,214.94,40639.14,8810739.64
1568937600,9/20/19,ETHUSD,220.79,221.93,212.2,218.1,49725.84,10803332.33
1568851200,9/19/19,ETHUSD,210.23,224.8,202.1,220.79,111853.26,23899143.05
1568764800,9/18/19,ETHUSD,207.88,218.53,207.87,210.23,70503.47,15015620.13
1568678400,9/17/19,ETHUSD,197.72,215.39,196.1,207.88,86984.84,17830735.19
1568592000,9/16/19,ETHUSD,189.45,199.83,188.58,197.72,71386.45,13804559.43
1568505600,9/15/19,ETHUSD,188.68,190.99,186.6,189.45,25734.52,4859682.53
1568419200,9/14/19,ETHUSD,181.25,189.33,180.21,188.68,38821.3,7205045.76
1568332800,9/13/19,ETHUSD,180.99,181.87,177.62,181.25,18111.76,3255327.35
1568246400,9/12/19,ETHUSD,178.47,182.7,176.51,180.99,18368.05,3294202.83
1568160000,9/11/19,ETHUSD,180.06,182.38,174.33,178.47,35899.75,6374424.26
1568073600,9/10/19,ETHUSD,180.89,184.58,176.6,180.06,30349.99,5470314.07
1567987200,9/9/19,ETHUSD,181.61,186.59,175.87,180.89,46754.81,8450511.76
1567900800,9/8/19,ETHUSD,178.25,184.56,176.52,181.61,44202.95,8009690.97
1567814400,9/7/19,ETHUSD,169.15,181.01,168.41,178.25,32115.15,5640884.2
1567728000,9/6/19,ETHUSD,174,178.4,165.2,169.15,45157.53,7795670.59
1567641600,9/5/19,ETHUSD,175.02,175.8,170.22,174,31719.49,5487588.87
1567555200,9/4/19,ETHUSD,179.12,180.64,173.69,175.02,39033.66,6911244.84
1567468800,9/3/19,ETHUSD,178.84,183.17,174.95,179.12,43081.42,7715096.2
1567382400,9/2/19,ETHUSD,171.38,181.69,170.62,178.84,31738.65,5579424.06
1567296000,9/1/19,ETHUSD,171.92,173.59,167.67,171.38,23621.09,4045071.6
1567209600,8/31/19,ETHUSD,168.25,174.9,165.93,171.92,21737.34,3692107.03
1567123200,8/30/19,ETHUSD,168.82,170.36,165.52,168.25,31248.02,5267539.78
1567036800,8/29/19,ETHUSD,172.81,173.36,163.49,168.82,48129.72,8116041.11
1566950400,8/28/19,ETHUSD,187.07,188.13,166,172.81,63629.97,11176159.44
1566864000,8/27/19,ETHUSD,188.35,189,184.56,187.07,25289.93,4720670.33
1566777600,8/26/19,ETHUSD,186.72,194.49,185.31,188.35,43187.05,8209969.79
1566691200,8/25/19,ETHUSD,190.96,192.76,182.49,186.72,24299.06,4550705.05
1566604800,8/24/19,ETHUSD,194.36,194.53,185.51,190.96,29449.11,5590518.85
1566518400,8/23/19,ETHUSD,190.45,197.14,188.3,194.36,35562.19,6856269.1
1566432000,8/22/19,ETHUSD,187.27,195,182.63,190.45,47153.66,8908702.1
1566345600,8/21/19,ETHUSD,196.44,197.07,179.94,187.27,44414.07,8308021.67
1566259200,8/20/19,ETHUSD,202.27,202.77,194.48,196.44,20299.25,4010422.74
1566172800,8/19/19,ETHUSD,194.57,203.79,193.15,202.27,36219.05,7201915.19
1566086400,8/18/19,ETHUSD,185.63,198,183.37,194.57,23133.15,4443411.2
1566000000,8/17/19,ETHUSD,185.5,186.88,182.11,185.63,16283.11,3003500.84
1565913600,8/16/19,ETHUSD,188.06,188.21,177.96,185.5,46487.79,8528408.16
1565827200,8/15/19,ETHUSD,186.2,189.69,173.76,188.06,55951.29,10246477.19
1565740800,8/14/19,ETHUSD,208.6,209,182,186.2,59141.02,11493417.66
1565654400,8/13/19,ETHUSD,211.2,211.94,203,208.6,34703.52,7219318.88
1565568000,8/12/19,ETHUSD,216.28,216.45,209.7,211.2,18071.08,3844883.73
1565481600,8/11/19,ETHUSD,206.05,216.63,205.69,216.28,34133.16,7196917.47
1565395200,8/10/19,ETHUSD,210.3,214.78,201,206.05,33982.6,7026915.16
1565308800,8/9/19,ETHUSD,220.85,221.24,206.36,210.3,32685.46,6937358.33
1565222400,8/8/19,ETHUSD,225.97,226.63,214.69,220.85,49755.86,10999949.79
1565136000,8/7/19,ETHUSD,226.1,231.17,220,225.97,33597.52,7584700.62
1565049600,8/6/19,ETHUSD,233,239.63,222,226.1,52206.33,12002872.18
1564963200,8/5/19,ETHUSD,222.9,237,222.88,233,42590.88,9839934.14
1564876800,8/4/19,ETHUSD,221.82,223.71,216.65,222.9,16166.67,3563041.46
1564790400,8/3/19,ETHUSD,217.8,224.6,216.49,221.82,26118.56,5766694.05
1564704000,8/2/19,ETHUSD,217.38,223.01,215,217.8,31926.16,6983084.73
1564617600,8/1/19,ETHUSD,218.68,219.22,210.61,217.38,27836.05,5970324.01
1564531200,7/31/19,ETHUSD,209.8,219,209.61,218.68,32480.97,6979460.72
1564444800,7/30/19,ETHUSD,210.69,215.1,204.41,209.8,25528.74,5364252.22
1564358400,7/29/19,ETHUSD,211.07,214.8,206.03,210.69,38392.99,8096445.9
1564272000,7/28/19,ETHUSD,207.11,213.39,197.18,211.07,43047.98,8876709.19
